単元,Q.単元,品詞,Q.品詞,単語,異形,Q.単語,出現回数,answer,間違い1,間違い2,間違い3,kaisetsu,辞書引用,抜粋,ランダム,ショートコード,,,
10:複文,10:複文クイズ,形、副、小辞,形、副、小辞クイズ,ὅτι,,Q. ὅτι,1296,〜ということ、なぜなら,近くの,その時,今,(1296)〜ということ、なぜなら,〜ということ、なぜなら,(1296)〜ということ、なぜなら,"""true""","[quiz question=""〜ということ、なぜなら,近くの,その時,今"" answer=""〜ということ、なぜなら"" kaisetsu=""(1296)〜ということ、なぜなら"" random=""true""]ὅτι[/quiz]",,,
10:複文,10:複文クイズ,形、副、小辞,形、副、小辞クイズ,οὗ,,Q. οὗ,24,〜の所で,そこへ、そこで,〜ない,誰,(24)〜の所で,〜の所で,(24)〜の所で,"""true""","[quiz question=""〜の所で,そこへ、そこで,〜ない,誰"" answer=""〜の所で"" kaisetsu=""(24)〜の所で"" random=""true""]οὗ[/quiz]",,,
10:複文,10:複文クイズ,形、副、小辞,形、副、小辞クイズ,οὐδέ,,Q. οὐδέ,143,そして〜でない,そこから,それで,しかし,(143)そして〜でない,そして〜でない,(143)そして〜でない,"""true""","[quiz question=""そして〜でない,そこから,それで,しかし"" answer=""そして〜でない"" kaisetsu=""(143)そして〜でない"" random=""true""]οὐδέ[/quiz]",,,
10:複文,10:複文クイズ,形、副、小辞,形、副、小辞クイズ,οὔτε,,Q. οὔτε,87,また〜でない,すぐに,言うても,明日,(87)また〜でない,また〜でない,(87)また〜でない,"""true""","[quiz question=""また〜でない,すぐに,言うても,明日"" answer=""また〜でない"" kaisetsu=""(87)また〜でない"" random=""true""]οὔτε[/quiz]",,,
10:複文,10:複文クイズ,形、副、小辞,形、副、小辞クイズ,οὕτως,,Q. οὕτως,208,このように、こんなに,ちょうど〜の様に,太い,そのように,(208)このように、こんなに,このように、こんなに,(208)このように、こんなに,"""true""","[quiz question=""このように、こんなに,ちょうど〜の様に,太い,そのように"" answer=""このように、こんなに"" kaisetsu=""(208)このように、こんなに"" random=""true""]οὕτως[/quiz]",,,
10:複文,10:複文クイズ,形、副、小辞,形、副、小辞クイズ,οὐχί,,Q. οὐχί,54,〜でない,うまく、適切に,ウキウキ,そこから,(54)〜でない。οὐの強意、全然違う！反語的に〜じゃないのか。,〜でない。οὐの強意、全然違う！反語的に〜じゃないのか。,(54)〜でない,"""true""","[quiz question=""〜でない,うまく、適切に,ウキウキ,そこから"" answer=""〜でない"" kaisetsu=""(54)〜でない。οὐの強意、全然違う！反語的に〜じゃないのか。"" random=""true""]οὐχί[/quiz]",,,
10:複文,10:複文クイズ,形、副、小辞,形、副、小辞クイズ,πλήν,,Q. πλήν,31,しかし,はい、その通り,プレーン,純粋,(31)しかし。議論をしめくくるときに使われている。,しかし。議論をしめくくるときに使われている。,(31)しかし,"""true""","[quiz question=""しかし,はい、その通り,プレーン,純粋"" answer=""しかし"" kaisetsu=""(31)しかし。議論をしめくくるときに使われている。"" random=""true""]πλήν[/quiz]",,,
10:複文,10:複文クイズ,形、副、小辞,形、副、小辞クイズ,πόθεν;,,Q. πόθεν;,29,どこから？いかに？,同様の,いつ？,寒い？,(29)どこから？いかに？,どこから？いかに？,(29)どこから？いかに？,"""true""","[quiz question=""どこから？いかに？,同様の,いつ？,寒い？"" answer=""どこから？いかに？"" kaisetsu=""(29)どこから？いかに？"" random=""true""]πόθεν;[/quiz]",,,
10:複文,10:複文クイズ,形、副、小辞,形、副、小辞クイズ,ὧδε,,Q. ὧδε,61,ここへ、ここで,同様に,しかし,また,(61)ここへ、ここで,ここへ、ここで,(61)ここへ、ここで,"""true""","[quiz question=""ここへ、ここで,同様に,しかし,また"" answer=""ここへ、ここで"" kaisetsu=""(61)ここへ、ここで"" random=""true""]ὧδε[/quiz]",,,
10:複文,10:複文クイズ,前置詞,前置詞クイズ,ἔμπροσθεν,,Q. ἔμπροσθεν,48,〜の前に,〜の後ろに,〜の上に,〜の内側に,"(48)〜の前に マタイ5.16 οὕτως λαμψάτω τὸ φῶς ὑμῶν ἔμπροσθεν τῶν ἀνθρώπων, （人々の前にあなた方の光を輝かせ）","〜の前に マタイ5.16 οὕτως λαμψάτω τὸ φῶς ὑμῶν ἔμπροσθεν τῶν ἀνθρώπων, （人々の前にあなた方の光を輝かせ）",(48)〜の前に,"""true""","[quiz question=""〜の前に,〜の後ろに,〜の上に,〜の内側に"" answer=""〜の前に"" kaisetsu=""(48)〜の前に マタイ5.16 οὕτως λαμψάτω τὸ φῶς ὑμῶν ἔμπροσθεν τῶν ἀνθρώπων, （人々の前にあなた方の光を輝かせ）"" random=""true""]ἔμπροσθεν[/quiz]",,,
10:複文,10:複文クイズ,前置詞,前置詞クイズ,ἕνεκα,,Q. ἕνεκα,26,〜のために,〜の向こう側に,〜の前に,〜なしに,(26)〜のために　「私のために〜する者は、、、」で使われている。,〜のために　「私のために〜する者は、、、」で使われている。,(26)〜のために,"""true""","[quiz question=""〜のために,〜の向こう側に,〜の前に,〜なしに"" answer=""〜のために"" kaisetsu=""(26)〜のために　「私のために〜する者は、、、」で使われている。"" random=""true""]ἕνεκα[/quiz]",,,
10:複文,10:複文クイズ,前置詞,前置詞クイズ,πέραν,,Q. πέραν,23,〜の向こう側に,〜なしに,〜のために,〜の前に,(23)〜の向こう側に　「ヨルダンの向こう側」など、どこどこの向こう側と使う,〜の向こう側に　「ヨルダンの向こう側」など、どこどこの向こう側と使う,(23)〜の向こう側に,"""true""","[quiz question=""〜の向こう側に,〜なしに,〜のために,〜の前に"" answer=""〜の向こう側に"" kaisetsu=""(23)〜の向こう側に　「ヨルダンの向こう側」など、どこどこの向こう側と使う"" random=""true""]πέραν[/quiz]",,,
10:複文,10:複文クイズ,前置詞,前置詞クイズ,χωρίς,,Q. χωρίς,41,〜なしに,〜の後ろに,〜のために,〜の向こう側に,(41)〜なしに,〜なしに,(41)〜なしに,"""true""","[quiz question=""〜なしに,〜の後ろに,〜のために,〜の向こう側に"" answer=""〜なしに"" kaisetsu=""(41)〜なしに"" random=""true""]χωρίς[/quiz]",,,
10:複文,10:複文クイズ,動詞,動詞クイズ,ἐγγίζω,,Q. ἐγγίζω,42,近づく,遠ざかる,飲む,縁起をかつぐ,(42)近づく,近づく,(42)近づく,"""true""","[quiz question=""近づく,遠ざかる,飲む,縁起をかつぐ"" answer=""近づく"" kaisetsu=""(42)近づく"" random=""true""]ἐγγίζω[/quiz]",,,
10:複文,10:複文クイズ,動詞,動詞クイズ,ἡγέομαι,,Q. ἡγέομαι,28,導く、考える,驚く,食べる,近づく,(28)導く、考える,導く、考える,(28)導く、考える,"""true""","[quiz question=""導く、考える,驚く,食べる,近づく"" answer=""導く、考える"" kaisetsu=""(28)導く、考える"" random=""true""]ἡγέομαι[/quiz]",,,
10:複文,10:複文クイズ,動詞,動詞クイズ,θαθμάζω,,Q. θαθμάζω,43,驚く,癒やす,近づく,導く、考える,(43)驚く,驚く,(43)驚く,"""true""","[quiz question=""驚く,癒やす,近づく,導く、考える"" answer=""驚く"" kaisetsu=""(43)驚く"" random=""true""]θαθμάζω[/quiz]",,,
10:複文,10:複文クイズ,動詞,動詞クイズ,θεραπεύω,,Q. θεραπεύω,43,癒やす,眠る,導く、考える,驚く,(43)癒やす,癒やす,(43)癒やす,"""true""","[quiz question=""癒やす,眠る,導く、考える,驚く"" answer=""癒やす"" kaisetsu=""(43)癒やす"" random=""true""]θεραπεύω[/quiz]",,,
10:複文,10:複文クイズ,動詞,動詞クイズ,καθεύδω,,Q. καθεύδω,22,眠る,食べる,驚く,近づく,(22)眠る,眠る,(22)眠る,"""true""","[quiz question=""眠る,食べる,驚く,近づく"" answer=""眠る"" kaisetsu=""(22)眠る"" random=""true""]καθεύδω[/quiz]",,,
10:複文,10:複文クイズ,固有名詞,固有名詞クイズ,Πιλᾶτος,,Q. Πιλᾶτος,55,ピラト,ピルト,ピサト,ぱらと,(55) ピラト，人名；ローマ帝国のユダヤ（サマリア・イドマヤを含む）総督, ピラト，人名；ローマ帝国のユダヤ（サマリア・イドマヤを含む）総督,(55)ピラト,"""true""","[quiz question=""ピラト,ピルト,ピサト,ぱらと"" answer=""ピラト"" kaisetsu=""(55) ピラト，人名；ローマ帝国のユダヤ（サマリア・イドマヤを含む）総督"" random=""true""]Πιλᾶτος[/quiz]",,,
11:動詞の特殊変化,11:動詞の特殊変化クイズ,第2アオリスト,第2アオリストクイズ,ἁμαρτανω,,Q. ἁμαρτανω,43,罪を犯す,苦しむ,笑う,はまる,(43)私は罪・過ちを犯す　第2アオリストは　ἡμαρτον,私は罪・過ちを犯す　第2アオリストは　ἡμαρτον,(43)罪を犯す,"""true""","[quiz question=""罪を犯す,苦しむ,笑う,はまる"" answer=""罪を犯す"" kaisetsu=""(43)私は罪・過ちを犯す　第2アオリストは　ἡμαρτον"" random=""true""]ἁμαρτανω[/quiz]",",",",",","
11:動詞の特殊変化,11:動詞の特殊変化クイズ,第2アオリスト,第2アオリストクイズ,ἀποθνῃσκω,,Q. ἀποθνῃσκω,111,死ぬ,飲む,喜ぶ,生きる,"(111)〜死ぬ　第2アオリストは　ἀπεθανον　）現･未完では、死にかけているニュアンスでまだ死んでいない。ルカ8:42, ２コリ6:9, ヘブ11:21；しかしアオリストでは死へ移行したニュアンス、。現在が「死ぬ」意味に用いられるのは(「人々は死ぬものだ、など一般論的な意味　１コリ15:22, ","〜死ぬ　第2アオリストは　ἀπεθανον　）現･未完では、死にかけているニュアンスでまだ死んでいない。ルカ8:42, ２コリ6:9, ヘブ11:21；しかしアオリストでは死へ移行したニュアンス、。現在が「死ぬ」意味に用いられるのは(「人々は死ぬものだ、など一般論的な意味　１コリ15:22, ",(111)死ぬ,"""true""","[quiz question=""死ぬ,飲む,喜ぶ,生きる"" answer=""死ぬ"" kaisetsu=""(111)〜死ぬ　第2アオリストは　ἀπεθανον　）現･未完では、死にかけているニュアンスでまだ死んでいない。ルカ8:42, ２コリ6:9, ヘブ11:21；しかしアオリストでは死へ移行したニュアンス、。現在が「死ぬ」意味に用いられるのは(「人々は死ぬものだ、など一般論的な意味　１コリ15:22, "" random=""true""]ἀποθνῃσκω[/quiz]",,,
11:動詞の特殊変化,11:動詞の特殊変化クイズ,第2アオリスト,第2アオリストクイズ,βαλλω,,Q. βαλλω,122,投げる,逃げる,受け取る,バカにする,(122)投げる　第2アオリストは　ἐβαλον,投げる　第2アオリストは　ἐβαλον,(122)投げる,"""true""","[quiz question=""投げる,逃げる,受け取る,バカにする"" answer=""投げる"" kaisetsu=""(122)投げる　第2アオリストは　ἐβαλον"" random=""true""]βαλλω[/quiz]",,,
11:動詞の特殊変化,11:動詞の特殊変化クイズ,第2アオリスト,第2アオリストクイズ,εὑρισκω,,Q. εὑρισκω,176,見つける,行く,学ぶ,リスクをとる,(176)見つける　第2アオリストは　εὑρον,見つける　第2アオリストは　εὑρον,(176)見つける,"""true""","[quiz question=""見つける,行く,学ぶ,リスクをとる"" answer=""見つける"" kaisetsu=""(176)見つける　第2アオリストは　εὑρον"" random=""true""]εὑρισκω[/quiz]",,,
11:動詞の特殊変化,11:動詞の特殊変化クイズ,第2アオリスト,第2アオリストクイズ,καταλειπω,,Q. καταλειπω,24,立ち去る、後に残す,知っている,苦しむ,語り合う,(24)立ち去る、後に残す　第2アオリストは　κατεριπον,立ち去る、後に残す　第2アオリストは　κατεριπον,(24)立ち去る、後に残す,"""true""","[quiz question=""立ち去る、後に残す,知っている,苦しむ,語り合う"" answer=""立ち去る、後に残す"" kaisetsu=""(24)立ち去る、後に残す　第2アオリストは　κατεριπον"" random=""true""]καταλειπω[/quiz]",,,
11:動詞の特殊変化,11:動詞の特殊変化クイズ,第2アオリスト,第2アオリストクイズ,λαμβανω,,Q. λαμβανω,258,受け取る,導く,飲む,乱暴にする,(258)受け取る　第2アオリストは　ἐλαβον,受け取る　第2アオリストは　ἐλαβον,(258)受け取る,"""true""","[quiz question=""受け取る,導く,飲む,乱暴にする"" answer=""受け取る"" kaisetsu=""(258)受け取る　第2アオリストは　ἐλαβον"" random=""true""]λαμβανω[/quiz]",,,
11:動詞の特殊変化,11:動詞の特殊変化クイズ,第2アオリスト,第2アオリストクイズ,μανθανω,,Q. μανθανω,25,学ぶ,持っている,逃げる,ダイエットする,(25)学ぶ　第2アオリストは　ἐμαθον,学ぶ　第2アオリストは　ἐμαθον,(25)学ぶ,"""true""","[quiz question=""学ぶ,持っている,逃げる,ダイエットする"" answer=""学ぶ"" kaisetsu=""(25)学ぶ　第2アオリストは　ἐμαθον"" random=""true""]μανθανω[/quiz]",,,
11:動詞の特殊変化,11:動詞の特殊変化クイズ,第2アオリスト,第2アオリストクイズ,πασχω,,Q. πασχω,42,苦しむ,倒れる,行く,パスモを使う,(42)苦しむ　第2アオリストは　ἐπαθον,苦しむ　第2アオリストは　ἐπαθον,(42)苦しむ,"""true""","[quiz question=""苦しむ,倒れる,行く,パスモを使う"" answer=""苦しむ"" kaisetsu=""(42)苦しむ　第2アオリストは　ἐπαθον"" random=""true""]πασχω[/quiz]",,,
11:動詞の特殊変化,11:動詞の特殊変化クイズ,第2アオリスト,第2アオリストクイズ,πινω,,Q. πινω,73,飲む,なる,知っている,アイスを食べる,(73)飲む　第2アオリストは　ἐπιον,飲む　第2アオリストは　ἐπιον,(73)飲む,"""true""","[quiz question=""飲む,なる,知っている,アイスを食べる"" answer=""飲む"" kaisetsu=""(73)飲む　第2アオリストは　ἐπιον"" random=""true""]πινω[/quiz]",,,
11:動詞の特殊変化,11:動詞の特殊変化クイズ,第2アオリスト,第2アオリストクイズ,φευγω,,Q. φευγω,29,逃げる,来る,導く,教える,(29)逃げる　第2アオリストは　ἐφυγον,逃げる　第2アオリストは　ἐφυγον,(29)逃げる,"""true""","[quiz question=""逃げる,来る,導く,教える"" answer=""逃げる"" kaisetsu=""(29)逃げる　第2アオリストは　ἐφυγον"" random=""true""]φευγω[/quiz]",,,
11:動詞の特殊変化,11:動詞の特殊変化クイズ,第2アオリスト,第2アオリストクイズ,βαινω,,Q. βαινω,,行く,言う,罪を犯す,倍にする,()行く　第2アオリストは　ἐβην,行く　第2アオリストは　ἐβην,()行く,"""true""","[quiz question=""行く,言う,罪を犯す,倍にする"" answer=""行く"" kaisetsu=""()行く　第2アオリストは　ἐβην"" random=""true""]βαινω[/quiz]",,,
11:動詞の特殊変化,11:動詞の特殊変化クイズ,第2アオリスト,第2アオリストクイズ,γινωσκω,,Q. γινωσκω,222,知っている,食べる,死ぬ,買う,"(222)第2アオリストは　ἐγνων   ①知識の中に取り入れる( 知るようになる( 知るに至る( 聞き知る，知る，知っている；（人格的かつ肉体的に異性を)知る) ②気づく( 知覚する，さとる) ③わかる( 理解する，心得ている(（不定詞と）～ができる) ④確かめる( 認める，承認する；現在幹は「知っている状態」の開始や継続( アオリスト幹は「知らなかった者が知ることになること（無知より知への移行）」を表わす；
類語：οἰδα = 分かっている，特に何かをするすべを心得ている（語形は第2完了形だが意味は現在）；γινώσκω ＝経験を通して知るようになる)","第2アオリストは　ἐγνων   ①知識の中に取り入れる( 知るようになる( 知るに至る( 聞き知る，知る，知っている；（人格的かつ肉体的に異性を)知る) ②気づく( 知覚する，さとる) ③わかる( 理解する，心得ている(（不定詞と）～ができる) ④確かめる( 認める，承認する；現在幹は「知っている状態」の開始や継続( アオリスト幹は「知らなかった者が知ることになること（無知より知への移行）」を表わす；
類語：οἰδα = 分かっている，特に何かをするすべを心得ている（語形は第2完了形だが意味は現在）；γινώσκω ＝経験を通して知るようになる)",(222)知っている,"""true""","[quiz question=""知っている,食べる,死ぬ,買う"" answer=""知っている"" kaisetsu=""(222)第2アオリストは　ἐγνων   ①知識の中に取り入れる( 知るようになる( 知るに至る( 聞き知る，知る，知っている；（人格的かつ肉体的に異性を)知る) ②気づく( 知覚する，さとる) ③わかる( 理解する，心得ている(（不定詞と）～ができる) ④確かめる( 認める，承認する；現在幹は「知っている状態」の開始や継続( アオリスト幹は「知らなかった者が知ることになること（無知より知への移行）」を表わす；
類語：οἰδα = 分かっている，特に何かをするすべを心得ている（語形は第2完了形だが意味は現在）；γινώσκω ＝経験を通して知るようになる)"" random=""true""]γινωσκω[/quiz]",,,
11:動詞の特殊変化,11:動詞の特殊変化クイズ,第2アオリスト,第2アオリストクイズ,ἀγω,,Q. ἀγω,67,導く,見る,投げる,顎が外れる,(67)導く第2アオリストは　ἠγαγον,導く第2アオリストは　ἠγαγον,(67)導く,"""true""","[quiz question=""導く,見る,投げる,顎が外れる"" answer=""導く"" kaisetsu=""(67)導く第2アオリストは　ἠγαγον"" random=""true""]ἀγω[/quiz]",,,
11:動詞の特殊変化,11:動詞の特殊変化クイズ,第2アオリスト,第2アオリストクイズ,ἐχω,,Q. ἐχω,708,持っている,運ぶ,見つける,倹約する,(708)持つ　第2アオリストは　ἐσχον,持つ　第2アオリストは　ἐσχον,(708)持っている,"""true""","[quiz question=""持っている,運ぶ,見つける,倹約する"" answer=""持っている"" kaisetsu=""(708)持つ　第2アオリストは　ἐσχον"" random=""true""]ἐχω[/quiz]",,,
11:動詞の特殊変化,11:動詞の特殊変化クイズ,第2アオリスト,第2アオリストクイズ,πιπτω,,Q. πιπτω,90,倒れる,罪を犯す,立ち去る,立つ,(90)倒れる　第2アオリストは　ἐπεσον,倒れる　第2アオリストは　ἐπεσον,(90)倒れる,"""true""","[quiz question=""倒れる,罪を犯す,立ち去る,立つ"" answer=""倒れる"" kaisetsu=""(90)倒れる　第2アオリストは　ἐπεσον"" random=""true""]πιπτω[/quiz]",,,
11:動詞の特殊変化,11:動詞の特殊変化クイズ,第2アオリスト,第2アオリストクイズ,γινομαι,,Q. γινομαι,669,なる,死ぬ,受け取る,義の舞いを踊る,(669)なる　第2アオリストは　ἐγενομην,なる　第2アオリストは　ἐγενομην,(669)なる,"""true""","[quiz question=""なる,死ぬ,受け取る,義の舞いを踊る"" answer=""なる"" kaisetsu=""(669)なる　第2アオリストは　ἐγενομην"" random=""true""]γινομαι[/quiz]",,,
11:動詞の特殊変化,11:動詞の特殊変化クイズ,第2アオリスト,第2アオリストクイズ,ἐρχομαι,,Q. ἐρχομαι,634,来る,投げる,学ぶ,古米を得る,(634)来る　第2アオリストは　ἠλθον,来る　第2アオリストは　ἠλθον,(634)来る,"""true""","[quiz question=""来る,投げる,学ぶ,古米を得る"" answer=""来る"" kaisetsu=""(634)来る　第2アオリストは　ἠλθον"" random=""true""]ἐρχομαι[/quiz]",,,
11:動詞の特殊変化,11:動詞の特殊変化クイズ,第2アオリスト,第2アオリストクイズ,λεγω,,Q. λεγω,2354,言う,見つける,苦しむ,レゴで遊ぶ,(2354)言う　第2アオリストは　είπον,言う　第2アオリストは　είπον,(2354)言う,"""true""","[quiz question=""言う,見つける,苦しむ,レゴで遊ぶ"" answer=""言う"" kaisetsu=""(2354)言う　第2アオリストは　είπον"" random=""true""]λεγω[/quiz]",,,
11:動詞の特殊変化,11:動詞の特殊変化クイズ,第2アオリスト,第2アオリストクイズ,ἐσθιω,,Q. ἐσθιω,158,食べる,立ち去る,飲む,塩を振りかける,(158)食べる　第2アオリストは　ἐφαγον,食べる　第2アオリストは　ἐφαγον,(158)食べる,"""true""","[quiz question=""食べる,立ち去る,飲む,塩を振りかける"" answer=""食べる"" kaisetsu=""(158)食べる　第2アオリストは　ἐφαγον"" random=""true""]ἐσθιω[/quiz]",,,
11:動詞の特殊変化,11:動詞の特殊変化クイズ,第2アオリスト,第2アオリストクイズ,ὁραω,,Q. ὁραω,454,見る,受け取る,逃げる,ホラを吹く,(454)見る　第2アオリストは　εἰδον,見る　第2アオリストは　εἰδον,(454)見る,"""true""","[quiz question=""見る,受け取る,逃げる,ホラを吹く"" answer=""見る"" kaisetsu=""(454)見る　第2アオリストは　εἰδον"" random=""true""]ὁραω[/quiz]",,,
11:動詞の特殊変化,11:動詞の特殊変化クイズ,第2アオリスト,第2アオリストクイズ,φερω,,Q. φερω,66,運ぶ,学ぶ,期待する,交わる,(66)運ぶ　第2アオリストは　ἠνεγκον,運ぶ　第2アオリストは　ἠνεγκον,(66)運ぶ,"""true""","[quiz question=""運ぶ,学ぶ,期待する,交わる"" answer=""運ぶ"" kaisetsu=""(66)運ぶ　第2アオリストは　ἠνεγκον"" random=""true""]φερω[/quiz]",,,
11:動詞の特殊変化,11:動詞の特殊変化クイズ,第2アオリスト,第2アオリストクイズ,παραγίνομαι,,Q. παραγίνομαι,37,到着する,信じる,嘘をつく,喜ぶ,(37)到着する、傍らに立つ、助ける　第2アオリスト　παρἐγενομην,到着する、傍らに立つ、助ける　第2アオリスト　παρἐγενομην,(37)到着する,"""true""","[quiz question=""到着する,信じる,嘘をつく,喜ぶ"" answer=""到着する"" kaisetsu=""(37)到着する、傍らに立つ、助ける　第2アオリスト　παρἐγενομην"" random=""true""]παραγίνομαι[/quiz]",,,
11:動詞の特殊変化,11:動詞の特殊変化クイズ,第2アオリスト,第2アオリストクイズ,προσφέρω,,Q. προσφέρω,47,運ぶ、捧げる,信仰する,向かっていく,動揺する,(47)運ぶ、捧げる　第2アオリスト προσηνεγκα,運ぶ、捧げる　第2アオリスト προσηνεγκα,(47)運ぶ、捧げる,"""true""","[quiz question=""運ぶ、捧げる,信仰する,向かっていく,動揺する"" answer=""運ぶ、捧げる"" kaisetsu=""(47)運ぶ、捧げる　第2アオリスト προσηνεγκα"" random=""true""]προσφέρω[/quiz]",,,
11:動詞の特殊変化,11:動詞の特殊変化クイズ,流音子音,流音子音クイズ,ἀπαγγέλλω,,Q. ἀπαγγέλλω,45,報告する、宣言する,福音を伝える,弁明する,建てる,(45)報告する、宣言する,報告する、宣言する,(45)報告する、宣言する,"""true""","[quiz question=""報告する、宣言する,福音を伝える,弁明する,建てる"" answer=""報告する、宣言する"" kaisetsu=""(45)報告する、宣言する"" random=""true""]ἀπαγγέλλω[/quiz]",,,
